FID,Descriptio,Actual_Fin,Address,Location,X,Y,x2,y2
217,EMERGENCY LEAK,1/25/2022 12:00:00 AM,"148 Tejah Ave, Syracuse, New York, 13210",148 TEJAH AVE FRONT OF HOUSE,-8474097.193,5314263.86,-8474097.193,5314263.86
218,EMERGENCY LEAK,1/25/2022 12:00:00 AM,"105 Sherbourne Rd, Syracuse, New York, 13224",LEAK IS ON THE MEADOWBROOK SIDE,-8472698.501,5316987.647,-8472698.501,5316987.647
219,EMERGENCY LEAK,1/24/2022 12:00:00 AM,117 Phillips Rd @ Albert Rd., ,-8470659.531,5319098.47,-8470659.531,5319098.47
220,REPAIR MAIN,1/24/2022 12:00:00 AM,"Phillips Rd & De Mong Dr, Syracuse, New York, 13214",SOUTH EAST CORNER,-8470659.531,5319098.47,-8470659.531,5319098.47
221,EMERGENCY LEAK,1/24/2022 12:00:00 AM,"823 N Townsend St, Syracuse, New York, 13208",ASH ST 200,-8477107.804,5321065.284,-8477107.804,5321065.284
222,EMERGENCY LEAK,1/24/2022 12:00:00 AM,"100 Harding St, Syracuse, New York, 13208",HUNTLEY ST 200,-8475625.705,5323837.228,-8475625.705,5323837.228
223,EMERGENCY LEAK,1/20/2022 12:00:00 AM,Leavenworth Ave,Between Tracy St. & Erie Blvd W,-8478440.884,5319543.307,-8478440.884,5319543.307
224,EMERGENCY LEAK,1/19/2022 12:00:00 AM,256 W Fayette St Syracuse NY,W WASHINGTON ST 200,-8477483.54,5319515.878,-8477483.54,5319515.878
225,EMERGENCY LEAK,1/16/2022 12:00:00 AM,"Erie Blvd W & Willis Ave, Syracuse, New York, 13204",MIDDLE OF INTERECTION,-8482269.262,5321107.301,-8482269.262,5321107.301
226,EMERGENCY LEAK,1/13/2022 12:00:00 AM,"139 Conifer Dr,  Syracuse,  New York,  13205",CONIFER DR 100,-8476252.372,5310541.602,-8476252.372,5310541.602
227,EMERGENCY LEAK,1/12/2022 12:00:00 AM,208 Basin St.,208 Basin St.,-8477775.619,5321473.286,-8477775.619,5321473.286
228,EMERGENCY LEAK,1/12/2022 12:00:00 AM,931 W. Lafayette Ave.,931 W. Lafayette Ave.,-8477982.632,5314734.548,-8477982.632,5314734.548
229,EMERGENCY LEAK,1/12/2022 12:00:00 AM,1301 Geddes St,On the Elliott St side of 1301 Geddes St,-8479620.571,5317304.142,-8479620.571,5317304.142
230,EMERGENCY LEAK,1/5/2022 12:00:00 AM,1232 W. Genesee St.,1232 W. Genesee St.,-8479957.625,5320082.324,-8479957.625,5320082.324
231,EMERGENCY LEAK,1/3/2022 12:00:00 AM,1051 S. Townsend St.,1051 S. Townsend St.,-8476499.153,5318155.755,-8476499.153,5318155.755
